Adaption,#,W,D,ID,t,ERR,RE,TAC,ODC,MDC,MV,ME,MO,,			
0,1,100,200,1.585,1687,0,0,3,5,3,7.2503,5.5757,8.1819,,RE: Target reentries			
0,2,100,300,2,1593,0,1,3,4,7,8.9343,6.4447,8.7586,,TAC: Total axis corssings			
0,3,90,200,1.6881,1687,0,1,1,7,5,3.9646,2.9686,3.9255,,ODC: Orthogona direction change		70	200
0,4,90,300,2.1155,1781,0,0,4,3,7,4.0418,3.8366,5.463,,MDC: Movement direction change		80	250
0,5,90,200,1.6881,2437,0,0,3,7,6,11.946,9.1474,12.253,,MV: Movement variability		90	300
0,6,90,300,2.1155,3016,0,5,7,32,33,122.31,97.08,126.85,,ME: Movement error		100	350
0,7,90,200,1.6881,1547,0,0,3,4,3,2.4195,1.66,2.3476,,			
0,8,100,300,2,3391,0,0,5,11,11,40.247,21.611,41.466,,			
0,9,90,300,2.1155,4922,0,4,4,13,9,34.206,25.648,33.982,,			
0,10,90,300,2.1155,3000,0,0,5,9,6,17.611,13.392,17.363,,			
0,11,90,200,1.6881,4015,0,1,7,15,13,30.237,23.143,37.631,,			
0,12,100,200,1.585,2031,0,1,2,5,2,8.2727,9.5069,12.451,,			
0,13,90,300,2.1155,1594,0,1,2,2,3,6.9753,5.0168,7.7617,,			
0,14,100,200,1.585,1938,0,0,0,3,2,20.158,19.437,27.699,,			
0,15,90,200,1.6881,5687,0,6,11,16,15,43.289,29.661,47.038,,			
0,16,100,300,2,2656,0,1,2,8,8,20.889,16.461,20.613,,			
0,17,100,200,1.585,3140,0,2,6,11,9,24.681,24.375,33.168,,			
0,18,100,200,1.585,3047,0,0,4,5,8,46.567,40.366,53.584,,			
0,19,100,200,1.585,3609,0,5,13,47,34,170.59,132.58,170.17,,			
0,20,100,200,1.585,2328,0,1,3,5,1,56.948,62.311,75.655,,			
0,21,90,200,1.6881,5063,0,2,4,10,8,24.605,31.553,39.845,,			
0,22,100,200,1.585,3719,0,4,3,9,7,41.012,33.854,40.611,,			
0,23,90,300,2.1155,5578,0,3,4,14,15,28.692,20.565,28.579,,			
0,24,100,200,1.585,1766,0,0,4,6,4,10.408,7.8925,11.41,,			
0,25,90,200,1.6881,1609,0,0,5,5,3,17.464,10.955,19.32,,			
0,26,90,300,2.1155,4672,0,7,8,52,42,105.79,74.966,123.18,,			
0,27,100,200,1.585,1532,0,0,5,6,5,10.084,6.2289,9.8521,,			
0,28,100,300,2,1672,0,1,3,5,7,8.1297,5.1094,8.7325,,			
0,29,90,300,2.1155,3360,0,2,6,7,9,35.749,25.47,36.088,,			
0,30,90,300,2.1155,1469,0,1,3,5,6,39.155,26.21,44.997,,			
0,31,100,200,1.585,2172,0,1,2,3,4,5.7593,4.1632,5.6925,,			
0,32,90,300,2.1155,5297,0,4,5,34,38,94.511,125.64,156.88,,			
0,33,100,200,1.585,1531,0,1,3,4,2,7.9719,5.5685,7.8377,,			
0,34,100,300,2,1859,0,0,2,3,2,13.627,12.622,17.512,,			
0,35,90,300,2.1155,1906,0,0,3,5,4,3.5938,2.4865,4.0532,,			
0,36,90,300,2.1155,2781,0,0,7,8,7,36.482,25.996,42.652,,			
0,37,90,200,1.6881,1750,0,0,1,4,4,15.559,20.15,25.193,,			
0,38,100,200,1.585,2031,0,4,3,38,35,136.26,155.93,206.48,,			
0,39,90,200,1.6881,1829,0,0,2,4,3,24.105,18.148,26.356,,			
0,40,90,200,1.6881,1860,0,1,3,3,5,6.8143,5.2239,7.1498,,			
0,41,90,300,2.1155,5000,0,4,12,17,9,27.244,17.562,27.514,,			
0,42,100,300,2,4516,0,2,7,16,11,15.991,13.182,17.401,,			
0,43,100,200,1.585,1453,0,0,2,3,6,12.555,17.18,21.059,,			
0,44,100,200,1.585,1203,0,0,2,2,2,7.8608,6.8604,10.22,,			
0,45,90,300,2.1155,2937,0,1,1,6,5,24.898,40.677,47.489,,			
0,46,90,300,2.1155,5328,0,5,6,51,46,140.78,115.55,141.92,,			
0,47,100,200,1.585,5453,0,0,2,9,16,34.267,35.333,41.11,,			
0,48,100,300,2,3687,0,1,3,13,11,23.976,37.683,44.039,,			
